Business Legal Name,Date Layoff/Closure Starts,Date of WARN Notice ,Date Posted  ,Impacted Site Address,Impacted Site County,Layoff or Closure?,Permanent or Temporary Layoff?,Reason for Layoff/Closure   ,Index,Number of Affected Workers ,Number of Affected Workers 
"A.B.C. Carpet Co., Inc. (3 NYC sites)",2021-09-08,2021-09-07,2021-09-07,"888 Broadway, New York, NY 10033; 14-08 28th Avenue, Long Island City, NY 11102; 220 36th Street Industry City, Brooklyn, NY 11232  New York, L.I.C., & Brooklyn, NY, 10033",Kings,,N/A,Economic,15,92,92
"A.B.C. Home Furnishings, Inc. (3 NYC sites)",2021-09-08,2021-09-07,2021-09-07,"888 Broadway, New York, NY 10033; Suite 19-3-AS, 3rd FL Building 19, Industry City, Brooklyn, NY 11232: 220 36th Street Industry City, Brooklyn, NY 11232  New York, Brooklyn, NY, 10033",Kings,,N/A,Economic,16,127,127
ACCO Brands USA LLC,2021-10-01,2021-09-08,2021-09-08,"941 Acco Way  Ogdensburg, NY, 13669",St Lawrence,,N/A,Economic,14,37,37
ACCO Brands USA LLC (US Warehouse Operations),2022-03-01,2021-11-29,2021-11-29,"941 Acco Way  Ogdensburg, NY, 13669",St Lawrence,,N/A,Economic,1,6,6
ACHIEVE (CWS Contract Packaging Services),2021-10-07,2021-07-06,2021-07-06,"3 sites in Norwich  Norwich, NY, 13815",Chenango,,N/A,Economic,21,28,28
"Acitrezza, LLC (Agata & Valentina store)",2021-05-12,2021-02-11,2021-02-11,"64 University Place  New York, NY, 10003",New York,,N/A,Economic,49,59,59
"Aclara Smart Grid Solutions, LLC/Aclara Technologies LLC (Brooklyn & Bronx site)",2021-11-24,2021-08-18,2021-08-18,"1970 Pitkin Ave & 1185 Commerce Ave.  Brooklyn/Bronx, NY, 11207",Kings,,N/A,Economic,18,565,565
"ADESA New York, LLC (Buffalo)",2021-07-17,2021-04-16,2021-04-16,"12200 Main Rd  Akron, NY, 14001",Erie,,N/A,Economic,35,22,22
American Steamship Company (ASC),2021-02-19,2021-02-19,2021-02-19,"500 Essjay Road  Williamsville, NY, 14221",Erie,,N/A,Economic,46,95,95
"Aramark Facility Services, LLC (at Mercy College, Dobbs Ferry)",2021-06-30,2021-06-14,2021-06-14,"555 Broadway  Dobbs Ferry, NY, 10522",Westchester,,N/A,Economic,26,35,35
"Aramark Services, Inc.",2021-10-01,2021-01-13,2021-01-13,"51 Madison Ave.  New York, NY, 10010",New York,,N/A,Unforeseeable business circumstances prompted by COVID 19,13,37,37
